wave/AA   f_lambda/F_Ha
      122.741  1.17229e-26
      123.356  1.67769e-29
      123.977  1.31675e-21
      124.604  1.24822e-21
      125.220  1.21343e-28
      125.859  3.19405e-25
      126.488  4.46232e-28
      127.123  8.51318e-28
      127.765  1.61853e-27
      128.394  3.06875e-27
      129.030  5.79885e-27
      129.691  1.46119e-21
      130.340  1.19578e-20
      130.996  1.78900e-24
      131.639  7.15570e-26
      132.308  5.03151e-25
      132.964  2.46654e-25
      133.626  4.55591e-25
      134.296  8.39246e-25
      134.972  1.54056e-24
      135.655  2.82034e-24
      136.324  8.41948e-24
      137.021  1.40326e-23
      137.704  1.69829e-23
      138.394  3.33251e-23
      139.091  5.55295e-23
      139.795  9.94172e-23
      140.484  1.78194e-22
      141.180  3.18242e-22
      141.905  5.66690e-22
      142.616  1.00812e-21
      143.333  1.78178e-21
      144.035  3.14538e-21
      144.767  5.53571e-21
      145.484  9.71438e-21
      146.207  1.69991e-20
      146.961  2.96513e-20
      147.699  5.15862e-20
      148.421  8.94857e-20
      149.174  1.54804e-19
      149.910  2.66965e-19
      150.678  4.59126e-19
      151.429  7.87263e-19
      152.187  1.34593e-18
      152.953  2.29559e-18
      153.701  3.90464e-18
      154.482  6.61910e-18
      155.245  1.11982e-17
      156.042  1.88749e-17
      156.821  3.17388e-17
      157.607  5.32274e-17
      158.401  8.89950e-17
      159.176  1.48355e-16
      159.986  2.46685e-16
      160.776  4.09188e-16
      161.603  6.76442e-16
      162.409  1.11562e-15
      163.223  1.83443e-15
      164.045  3.00627e-15
      164.846  2.35455e-18
      165.685  3.84073e-18
      166.502  6.22156e-18
      167.358  1.00467e-17
      168.192  1.61928e-17
      169.034  2.60399e-17
      169.884  4.17394e-17
      170.744  6.67260e-17
      171.579  1.06359e-16
      172.456  1.69083e-16
      173.308  2.68092e-16
      174.169  4.23794e-16
      175.038  6.68028e-16
      175.917  1.05034e-15
      176.804  1.64556e-15
      177.700  2.57337e-15
      178.570  4.01019e-15
      179.484  6.23316e-15
      180.372  9.66536e-15
      181.269  1.49346e-14
      182.211  2.30201e-14
      183.089  3.53979e-14
      184.013  5.42746e-14
      184.946  8.29761e-14
      185.889  1.26509e-13
      186.803  1.92414e-13
      187.727  2.91807e-13
      188.698  4.41203e-13
      189.640  6.65869e-13
      190.592  1.00199e-12
      191.553  1.50267e-12
      192.483  2.24778e-12
      193.464  3.35417e-12
      194.412  4.99202e-12
      195.413  7.40840e-12
      196.381  1.09702e-11
      197.359  1.61878e-11
      198.346  2.38443e-11
      199.344  3.50066e-11
      200.352  5.12730e-11
      201.370  7.48887e-11
      202.353  1.09123e-10
      203.391  1.58600e-10
      204.395  2.29871e-10
      205.408  3.32268e-10
      206.431  4.79064e-10
      207.465  6.88999e-10
      208.509  9.88629e-10
      209.563  1.41400e-09
      210.628  2.01775e-09
      211.655  2.87325e-09
      212.742  4.07896e-09
      213.790  5.77762e-09
      214.848  8.15992e-09
      215.968  1.15006e-08
      217.048  1.61696e-08
      218.138  2.26752e-08
      219.187  3.17257e-08
      220.300  4.42761e-08
      221.423  6.16396e-08
      222.504  8.56080e-08
      223.651  1.18639e-07
      224.753  1.64060e-07
      225.867  2.27873e-07
      226.823  2.98165e-07
      227.729  3.84346e-07
      228.873  1.54267e-10
      230.435  3.01844e-11
      231.606  1.45828e-11
      232.789  1.41935e-11
      233.924  1.40618e-11
      235.009  2.85281e-13
      236.105  4.05385e-13
      237.272  1.35609e-11
      238.639  9.97750e-13
      239.832  1.44974e-12
      241.036  2.09473e-12
      242.254  3.04552e-12
      243.483  1.73811e-11
      244.725  6.51868e-12
      245.913  1.04251e-11
      247.180  1.46933e-11
      248.392  2.16335e-11
      249.617  3.16867e-11
      250.922  4.41437e-11
      252.171  6.13086e-11
      253.433  9.26632e-11
      254.708  1.27607e-10
      255.924  2.00410e-10
      257.223  2.43906e-10
      258.537  3.17164e-10
      259.863  3.28034e-10
      261.129  4.13566e-10
      262.406  1.21315e-10
      263.773  2.04772e-11
      265.077  2.67318e-11
      266.394  3.44419e-11
      267.724  4.49247e-11
      269.067  5.88167e-11
      270.424  7.55640e-11
      271.795  9.79837e-11
      273.180  1.30322e-10
      274.496  1.67304e-10
      275.908  2.23251e-10
      277.251  2.87168e-10
      278.692  3.65091e-10
      280.061  4.63464e-10
      281.445  5.86985e-10
      282.842  7.42071e-10
      284.253  9.36320e-10
      285.678  1.17884e-09
      287.118  1.48078e-09
      288.572  1.85649e-09
      290.041  2.32276e-09
      291.525  2.89944e-09
      292.931  3.61207e-09
      294.444  4.49132e-09
      295.878  5.57247e-09
      297.422  6.89789e-09
      298.885  8.51744e-09
      300.362  1.04953e-08
      301.854  1.29017e-08
      303.361  1.59718e-08
      304.883  2.70180e-11
      306.420  5.89170e-11
      307.973  7.83717e-11
      309.542  9.62039e-11
      311.020  1.13417e-10
      312.620  1.29947e-10
      314.236  1.47184e-10
      315.760  1.65841e-10
      317.299  1.86572e-10
      318.964  2.10141e-10
      320.534  2.37552e-10
      322.120  2.69494e-10
      323.722  3.07153e-10
      325.339  3.51441e-10
      326.973  4.03652e-10
      328.623  4.64999e-10
      330.290  5.36715e-10
      331.974  6.20944e-10
      333.553  7.18726e-10
      335.270  8.31782e-10
      337.006  9.62030e-10
      338.633  1.11248e-09
      340.403  1.28348e-09
      342.064  1.47892e-09
      343.741  1.70038e-09
      345.434  1.94982e-09
      347.276  2.22923e-09
      349.005  2.54248e-09
      350.750  2.88971e-09
      352.514  3.27404e-09
      354.295  2.01890e-11
      355.955  1.87936e-11
      357.771  1.75085e-11
      359.605  1.63716e-11
      361.459  1.53267e-11
      363.187  1.43826e-11
      365.078  1.35174e-11
      366.841  1.27367e-11
      368.621  1.20248e-11
      370.569  1.13631e-11
      372.386  1.07866e-11
      374.220  1.02760e-11
      376.073  9.82215e-12
      378.100  9.42442e-12
      379.992  9.08567e-12
      381.902  8.80538e-12
      383.670  8.58199e-12
      385.618  9.16880e-12
      387.585  8.29754e-12
      389.573  8.23849e-12
      391.413  8.24559e-12
